,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,liveness,popularity
Rejjie Snow,0.772,0.5761999999999999,0.6072000000000001,101.6797,0.2767,0.011727190000000002,0.19066999999999998,0.11853,57
Jax Hollow,0.5477,0.6936,0.5005,121.63230000000001,0.12045099999999997,0.054477259,0.03895,0.22247000000000003,19
Soulive,0.6184000000000001,0.6066,0.6,117.04780000000001,0.15379866,0.77394,0.043109999999999996,0.13329,34
Primer Dia,0.22778,0.09287999999999999,0.10156000000000001,99.6868,0.8765000000000001,0.8935000000000001,0.04478999999999999,0.10234000000000001,39
Doug Bossi,0.5492000000000001,0.4312,0.35846000000000006,137.2936,0.6439,0.7864599999999999,0.039639999999999995,0.16432999999999998,12
reidenshi,0.39647,0.101106,0.09551,116.9434,0.9349999999999999,0.8966000000000001,0.04656999999999999,0.20716,70
Reginald Chapman,0.593,0.33338999999999996,0.5483,122.20070000000001,0.60364,0.5663199999999999,0.19873,0.21939999999999998,27
Israel Strom,0.5401999999999999,0.6462000000000001,0.39860000000000007,115.8296,0.29282,0.8147,0.05243,0.15732000000000002,19
Chris Keys,0.558,0.6445000000000001,0.6185999999999999,141.4342,0.43099,0.37060817,0.1641,0.20968,33
KSHMR,0.6235999999999999,0.8757000000000001,0.39626,132.1171,0.0355566,0.1518152,0.12437999999999998,0.29442999999999997,64
Bramsito,0.7009999999999998,0.6723,0.6274,150.17049999999998,0.35132,1.9325999999999998e-05,0.1285,0.1467,50
Cornel West,0.7117000000000001,0.6575,0.6659999999999999,92.09940000000002,0.19622,0.012,0.2814,0.18689,14
Phil Collins,0.602,0.6399000000000001,0.4877999999999999,125.3425,0.29203,0.009848236,0.037070000000000006,0.09656,75
Men I Trust,0.7361000000000001,0.41289999999999993,0.6491,126.28219999999999,0.6982000000000002,0.47467099999999995,0.045470000000000003,0.11133,71
7!!,0.5143,0.6528,0.4809,130.48829999999998,0.218393,6.559999999999999e-07,0.045040000000000004,0.22760000000000002,50
4B,0.6730999999999999,0.7692,0.3339,142.5096,0.037438,0.13269150000000002,0.20140000000000002,0.19637000000000002,41
Mike Richmond,0.4791,0.25,0.5071,135.32689999999997,0.7346,0.6272,0.04989,0.10404,19
Luca Gaeta,0.7142,0.8141999999999999,0.16116999999999998,127.89590000000001,0.023906379999999998,0.8756999999999999,0.054079999999999996,0.22286999999999998,14
Moshi Moshi Desu,0.7120000000000001,0.5228799999999999,0.5018100000000001,127.03279999999998,0.18656799999999998,0.7815999999999999,0.09896000000000002,0.11921999999999999,34
Club16,0.695,0.6986,0.5297999999999999,110.737,0.27805,0.011861362,0.12377,0.13422,42
Mariano Barba,0.6697,0.5604,0.7724,141.2674,0.5962000000000001,0.00014203099999999998,0.041159999999999995,0.10722000000000001,60
Pre$key,0.8483,0.5898,0.46770000000000006,127.93590000000002,0.1382874,0.0,0.38639999999999997,0.13941,1
Miami Horror,0.6898000000000001,0.7816,0.5735,114.48890000000002,0.11771000000000001,0.12933842,0.07384,0.18156000000000003,54
Vixen,0.5566,0.7369999999999999,0.5568000000000001,122.22829999999999,0.062082500000000006,0.0006233619999999999,0.03653,0.10055,39
La Dormilona,0.34970000000000007,0.124723,0.10868,105.4849,0.9585000000000001,0.8572999999999998,0.04638,0.10818000000000001,17
Cassian,0.6194000000000001,0.8589,0.25308,122.28970000000001,0.016841299999999997,0.37015799999999993,0.03671,0.18039999999999998,53
Drift Far Away,0.13362,0.045059,0.03937,95.3181,0.9236000000000001,0.9359999999999999,0.04341,0.10315,23
Signs of the Swarm,0.3662,0.9681,0.10922000000000001,118.34520000000002,0.00021475999999999998,0.49167999999999995,0.16159,0.26508,44
KETTAMA,0.6741,0.8932,0.6386000000000001,137.39760000000004,0.016562,0.49033899999999997,0.07183,0.15517,41
THEATRE BROOK,0.5166999999999999,0.8587,0.5942000000000001,121.14450000000002,0.07196691,0.08146302999999999,0.07578,0.14872,32
Peter White,0.6436999999999999,0.5417,0.5862999999999999,101.9334,0.35672000000000004,0.6584000000000001,0.031259999999999996,0.12516999999999998,48
EST Gee,0.776,0.5524,0.4310999999999999,144.726,0.034481,1.3200000000000002e-07,0.23854000000000003,0.18599000000000002,67
Espen Laub von Lillienskjold,0.5627000000000001,0.26815,0.41405999999999993,94.7008,0.8352999999999999,0.7718999999999999,0.041299999999999996,0.13648000000000002,21
jussbusscamp records,0.7545000000000001,0.8235000000000001,0.7470999999999999,131.2071,0.13626999999999997,0.000812659,0.20112999999999998,0.21748999999999996,22
SPAZA,0.42519999999999997,0.35100999999999993,0.22096999999999997,116.12000000000003,0.72,0.358768,0.06644999999999998,0.22666000000000003,10
R!ckes,0.6244000000000001,0.7045600000000001,0.18761,137.2719,0.1869462,0.5266825,0.13599,0.32754,16
Debit,0.3705,0.30931999999999993,0.17153000000000002,123.45570000000001,0.69923,0.7418,0.058539999999999995,0.13935999999999998,12
Eddie Roberts,0.6192,0.7329999999999999,0.8090999999999999,148.67350000000002,0.40709999999999996,0.46716876100000004,0.08062,0.14557000000000003,33
غريب ال مخلص,0.6047,0.7065,0.7229,117.93020000000001,0.6489,0.036948771,0.05502000000000001,0.12849,39
India.Arie,0.6775,0.40261,0.39970000000000006,124.19839999999996,0.38366,0.0007892959999999999,0.10342,0.09865,54
Clementine Douglas,0.621,0.8717,0.34364,136.2869,0.0516857,0.11519238000000001,0.0615,0.2205,64
Noah Foem,0.43689999999999996,0.049440000000000005,0.26695,92.0549,0.9907,0.9218000000000002,0.05113000000000001,0.10332000000000001,35
Hewie Lou,0.681,0.34869999999999995,0.37170000000000003,118.32290000000003,0.5918300000000001,0.7643,0.13164,0.17642000000000002,46
Honey Revenge,0.5576000000000001,0.7794000000000001,0.5894999999999999,126.9494,0.021961,3.8989999999999994e-06,0.0471,0.2327,50
Daano,0.7775,0.5786,0.37039999999999995,115.8398,0.010303999999999999,0.65181,0.061410000000000006,0.099,33
The Ecclesium Choir,0.17229999999999998,0.08557000000000001,0.05395000000000001,99.6393,0.9591999999999998,0.18273440000000002,0.047029999999999995,0.10438,19
Teklife,0.6737,0.5331999999999999,0.35478,146.91590000000002,0.065136,0.4941661420000001,0.19974,0.21749999999999997,20
Chicolisto,0.6343,0.648,0.5755,84.0603,0.36865,0.000196666,0.32791,0.23079,18
Vasily Petrenko,0.3069,0.140182,0.14279000000000003,101.507,0.9193999999999999,0.60592,0.04242,0.16235,45
Ramiro Flores,0.46630000000000005,0.49160000000000004,0.4326,128.7204,0.2630100000000001,0.60122,0.08525,0.21067000000000005,19
The Narrator,0.48310000000000003,0.9108,0.35086999999999996,137.709,0.0017918800000000003,0.006606782,0.08184,0.28241,32
Kevin Gates,0.7651999999999999,0.6325,0.4613999999999999,121.89179999999999,0.158687,3.896e-06,0.28796,0.25670000000000004,72
Floyd Dixon,0.7041000000000001,0.48997,0.7276,112.9428,0.6593000000000001,0.051861290000000004,0.07319,0.15392999999999998,29
Jim Croce,0.5921000000000001,0.4936999999999999,0.7521,137.9809,0.6719,0.001075539,0.040240000000000005,0.12974,66
KIM JAE HWAN,0.5327000000000001,0.5821999999999999,0.43760000000000004,124.32410000000002,0.37848000000000004,0.0,0.034519999999999995,0.13794,40
Nice Life,0.7334999999999999,0.5125,0.529,121.1221,0.21822999999999998,0.1261088,0.09672,0.10895000000000002,34
Shapov,0.5269999999999999,0.9045,0.22696999999999998,127.96289999999999,0.07418800000000002,0.44029190000000007,0.035870000000000006,0.19079999999999997,46
Swedish Red Elephant,0.6879,0.8123000000000001,0.45919999999999994,120.3942,0.17216230000000002,0.057390300000000005,0.07092000000000001,0.25173999999999996,47
Bits & Noise,0.09848000000000001,0.10581,0.10199,74.8543,0.5777,0.4114,0.08016000000000001,0.0772,51
Dorian Electra,0.5922999999999999,0.7977000000000001,0.5982000000000001,108.011,0.1051496,0.000782077,0.09602000000000001,0.3134,52
Ripe,0.7184999999999999,0.7156,0.7207999999999999,111.94879999999998,0.16187,4.5564e-05,0.06922,0.1117,46
Naomi Sagara,0.5065000000000001,0.40279999999999994,0.48500000000000004,122.4988,0.7267,0.00017229200000000002,0.04011,0.16016,17
Vula,0.6980000000000002,0.8336,0.6407999999999999,121.1499,0.05036159999999999,0.18952283,0.06093,0.20516,52
Mel & Tim,0.5541,0.5294000000000001,0.6997000000000002,129.1936,0.45776000000000006,0.010435535999999999,0.04241,0.14178000000000002,29
Pete Tong,0.5737,0.8106000000000002,0.23159999999999997,120.91709999999998,0.06306,0.3317893,0.04499000000000001,0.14443999999999999,50
Aaron May,0.7945,0.44231,0.6638999999999999,125.9799,0.39103,0.001144644,0.20168,0.1443,69
HIDDN,0.7053,0.8195,0.3997,122.09979999999999,0.067492,0.052133857000000006,0.04478,0.19807999999999998,34
